pressure: 1007.79, temp: 22.9253,  time: (2000, 1, 1, 0, 0, 6, 5, 1)
pressure: 1007.76, temp: 22.9079,  time: (2000, 1, 1, 0, 0, 36, 5, 1)
pressure: 1007.19, temp: 22.8904,  time: (2000, 1, 1, 0, 1, 6, 5, 1)
pressure: 1007.9, temp: 22.8382,  time: (2000, 1, 1, 0, 1, 35, 5, 1)
pressure: 1007.78, temp: 22.7685,  time: (2000, 1, 1, 0, 2, 4, 5, 1)
pressure: 1007.82, temp: 22.6466,  time: (2000, 1, 1, 0, 2, 35, 5, 1)
pressure: 1007.51, temp: 22.4724,  time: (2000, 1, 1, 0, 3, 3, 5, 1)
pressure: 1007.7, temp: 22.2808,  time: (2000, 1, 1, 0, 3, 32, 5, 1)
pressure: 1008.36, temp: 22.0543,  time: (2000, 1, 1, 0, 4, 1, 5, 1)
pressure: 1007.58, temp: 21.7756,  time: (2000, 1, 1, 0, 4, 30, 5, 1)
pressure: 1007.91, temp: 21.5143,  time: (2000, 1, 1, 0, 4, 59, 5, 1)
pressure: 1007.81, temp: 21.166,  time: (2000, 1, 1, 0, 5, 28, 5, 1)
pressure: 1007.71, temp: 20.8176,  time: (2000, 1, 1, 0, 5, 57, 5, 1)
pressure: 1007.82, temp: 20.4344,  time: (2000, 1, 1, 0, 6, 26, 5, 1)
pressure: 1007.89, temp: 20.0337,  time: (2000, 1, 1, 0, 6, 55, 5, 1)
pressure: 1007.92, temp: 19.6152,  time: (2000, 1, 1, 0, 7, 24, 5, 1)
pressure: 1007.8, temp: 19.1082,  time: (2000, 1, 1, 0, 7, 54, 5, 1)
pressure: 1008.03, temp: 18.6522,  time: (2000, 1, 1, 0, 8, 23, 5, 1)
pressure: 1007.62, temp: 18.1422,  time: (2000, 1, 1, 0, 8, 53, 5, 1)
pressure: 1007.95, temp: 17.5953,  time: (2000, 1, 1, 0, 9, 22, 5, 1)
pressure: 1007.97, temp: 17.029,  time: (2000, 1, 1, 0, 9, 51, 5, 1)
